"","X","Year.Tag","Moved","First.Line","Second.Line","Year","Year.Line","Tags","Sex","Closest.Dist","Adj.Year.Avg.Abund","Adj.Line.Abund","Adj.Avg.Abund.z","Adj.Diff","Adj.Line.Abund.z","PI","Adj.Diff.z","Year.Numeric"
"29",1363,"2010-2254.2255","0","201",NA,"2010","2010-201","2254.2255","F",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"30",1364,"2010-2272.2273","0","701",NA,"2010","2010-701","2272.2273","M",0.1143,7.659313725,2.916666667,-0.93795855,-4.742647058,-1.536317438,"3",-1.26878658500869,2010
"31",1365,"2010-2286.2292","0","304",NA,"2010","2010-304","2286.2292","F",0.65654,7.659313725,13.75,-0.93795855,6.090686275,-0.387341223,"3",0.214379074638961,2010
"32",1366,"2010-2297.2298","0","201",NA,"2010","2010-201","2297.2298","F",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"33",1367,"2010-2299.23","0","201",NA,"2010","2010-201","2299.23","F",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"34",1368,"2010-2299.2842","0","201",NA,"2010","2010-201","2299.2842","F",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"35",1369,"2010-2315.2316","1","703","701","2010","2010-703","2315.2316","F",0.1143,7.659313725,4.375,-0.93795855,-3.284313725,-1.381647563,"3",-1.06912966932638,2010
"36",1370,"2010-2326.2327","0","304",NA,"2010","2010-304","2326.2327","F",0.65654,7.659313725,13.75,-0.93795855,6.090686275,-0.387341223,"3",0.214379074638961,2010
"37",1371,"2010-2332.2333","0","202",NA,"2010","2010-202","2332.2333","M",0.19949,7.659313725,16.04166667,-0.93795855,8.382352942,-0.144288561,"3",0.528125656542792,2010
"38",1372,"2010-2337.2338","1","401","203","2010","2010-401","2337.2338","M",0.26028,7.659313725,0.833333333,-0.93795855,-6.825980392,-1.757274403,"3",-1.55401075042559,2010
"39",1373,"2010-2346.2347","0","112",NA,"2010","2010-112","2346.2347","M",0.84576,7.659313725,7.708333333,-0.93795855,0.049019608,-1.02811642,"3",-0.612771004851007,2010
"40",1374,"2010-2378.2379","0","304",NA,"2010","2010-304","2378.2379","M",0.65654,7.659313725,13.75,-0.93795855,6.090686275,-0.387341223,"3",0.214379074638961,2010
"41",1375,"2010-2380.2381","0","304",NA,"2010","2010-304","2380.2381","F",0.65654,7.659313725,13.75,-0.93795855,6.090686275,-0.387341223,"3",0.214379074638961,2010
"42",1376,"2010-2392.2393","0","202",NA,"2010","2010-202","2392.2393","F",0.19949,7.659313725,16.04166667,-0.93795855,8.382352942,-0.144288561,"3",0.528125656542792,2010
"43",1377,"2010-2424.2425","0","801",NA,"2010","2010-801","2424.2425","F",0.5879,7.659313725,1.458333333,-0.93795855,-6.200980392,-1.690987314,"3",-1.4684435008279,2010
"44",1378,"2010-2456.2457","0","203",NA,"2010","2010-203","2456.2457","F",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"45",1379,"2010-2458.2459","0","203",NA,"2010","2010-203","2458.2459","M",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"46",1380,"2010-2461.2462","0","203",NA,"2010","2010-203","2461.2462","F",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"47",1381,"2010-2463.2464","0","203",NA,"2010","2010-203","2463.2464","F",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"48",1382,"2010-2467.2468","0","201",NA,"2010","2010-201","2467.2468","F",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"49",1383,"2010-2474.2171","0","503",NA,"2010","2010-503","2474.2171","F",0.26938,7.659313725,4.791666667,-0.93795855,-2.867647058,-1.33745617,"3",-1.01208483621562,2010
"50",1384,"2010-2479.248","0","112",NA,"2010","2010-112","2479.248","F",0.84576,7.659313725,7.708333333,-0.93795855,0.049019608,-1.02811642,"3",-0.612771004851007,2010
"51",1385,"2010-2481.2482","0","112",NA,"2010","2010-112","2481.2482","M",0.84576,7.659313725,7.708333333,-0.93795855,0.049019608,-1.02811642,"3",-0.612771004851007,2010
"52",1386,"2010-2483.2484","0","803",NA,"2010","2010-803","2483.2484","M",0.5879,7.659313725,3.125,-0.93795855,-4.534313725,-1.514221742,"3",-1.24026416852176,2010
"53",1387,"2010-2485.2486","0","803",NA,"2010","2010-803","2485.2486","M",0.5879,7.659313725,3.125,-0.93795855,-4.534313725,-1.514221742,"3",-1.24026416852176,2010
"54",1388,"2010-2487.2488","0","803",NA,"2010","2010-803","2487.2488","M",0.5879,7.659313725,3.125,-0.93795855,-4.534313725,-1.514221742,"3",-1.24026416852176,2010
"55",1389,"2010-2502.2503","0","112",NA,"2010","2010-112","2502.2503","M",0.84576,7.659313725,7.708333333,-0.93795855,0.049019608,-1.02811642,"3",-0.612771004851007,2010
"56",1390,"2010-2504.2505","0","113",NA,"2010","2010-113","2504.2505","M",0.85448,7.659313725,9.791666667,-0.93795855,2.132352942,-0.807159455,"3",-0.327546839434104,2010
