"","timesincefire","avg.org","cubeorg","Moisture","ecoregion3","cubePima","burn.name","site"
"344",65,69.4,4.10947639467995,"Subhydric","plains",2.20678567821763,"Unburned control","CG1-18"
"345",68,48.2,3.63928174855354,"Subhydric","plains",2.00484532700687,"Unburned control","CG1-24"
"346",99,37.4,3.34418684425653,"Subhydric","plains",2.38096256053807,"Unburned control","CG1-25"
"347",100,11.15,2.23404348595191,"Mesic","plains",2.26792263844174,"Unburned control","CG1-67"
"348",128,77.5,4.2635094916408,"Subhydric","plains",1.34898173456875,"Unburned control","CG1-6"
"349",115,21.4,2.77633109854556,"Xeric","plains",2.82038351967476,"Unburned control","CG1-6"
"350",112,15.1,2.47168041168896,"Mesic","plains",1.94444676524373,"Unburned control","CG1-8"
"351",137,58.1,3.87310000506878,"Subhydric","plains",2.75417887415376,"Unburned control","CG1-8"
"352",79,7.25,1.9354383203139,"Xeric","plains",0.74884338345669,"Unburned control","CG2-13"
"353",105,10,2.15443469003188,"Subhydric","plains",2.06172907982054,"Unburned control","CG2-20"
"354",127,17.3,2.58631866694467,"Mesic","plains",2.29153892858172,"Unburned control","CG2-20"
"355",200,41.2,3.45381500546985,"Subhydric","plains",1.03067085306897,"Unburned control","CG2-21"
"356",87,9.15,2.09157623209337,"Xeric","plains",0,"Unburned control","CG2-22"
"357",72,12.1,2.29577042466555,"Subhydric","plains",2.05032485393264,"Unburned control","CG2-27"
"358",79,15.25,2.47983783192115,"Mesic","plains",2.45197185306289,"Unburned control","CG2-31"
"359",137,26,2.96249606840737,"Subhydric","plains",2.20759815635506,"Unburned control","CG2-33"
"360",137,59.7,3.9083319568262,"Subhydric","plains",2.38356708416387,"Unburned control","CG2-33"
"361",85,20.7,2.74572338027716,"Xeric","plains",2.41993103928892,"Unburned control","CG2-35"
"362",43,3.35,1.49628711352849,"Mesic","plains",1.25786505596368,"Unburned control","CG2-4"
"363",87,31.2,3.14812183326289,"Xeric","plains",2.46043957046815,"Unburned control","CG2-5"
"364",67,1.1,1.03228011545637,"Mesic","plains",2.30322850510124,"Unburned control","CG2-7"
"365",145,6.15,1.83213879944796,"Xeric","plains",0,"Unburned control","CG2-8"
