litter_id,sex,weight,tagwt,year,n1_date,tag_date,grid,food,mother_byear,mother_age,litter_size,growth,bdate,survived_200d,aliveinfall,owner,density,cones
10,M,10.5,34.2,2013,2013-04-02,2013-04-26,AG,1,2010,3,4,NA,91,FALSE,0,0,2.91005291,1.459180287
11,F,9,59.4,2013,2013-04-03,2013-04-28,AG,1,2007,6,3,NA,93,TRUE,1,1,2.91005291,1.459180287
11,F,9.8,NA,2013,2013-04-03,2013-04-28,AG,1,2007,6,3,NA,93,FALSE,0,0,2.91005291,1.459180287
11,M,10.1,64,2013,2013-04-03,2013-04-28,AG,1,2007,6,3,NA,93,FALSE,0,0,2.91005291,1.459180287
12,M,12.9,55.5,2013,2013-03-30,2013-04-22,AG,1,2010,3,4,NA,87,FALSE,0,0,2.91005291,1.459180287
12,F,13.2,56.7,2013,2013-03-30,2013-04-22,AG,1,2010,3,4,NA,87,TRUE,1,1,2.91005291,1.459180287
12,F,13.7,59.9,2013,2013-03-30,2013-04-22,AG,1,2010,3,4,NA,87,TRUE,1,1,2.91005291,1.459180287
12,F,12.8,58.5,2013,2013-03-30,2013-04-22,AG,1,2010,3,4,NA,87,FALSE,1,0,2.91005291,1.459180287
13,M,9.5,45.9,2013,2013-04-06,2013-04-30,JO,0,2010,3,3,1.516666667,96,FALSE,1,0,3.048626858,1.853722378
13,F,9.3,44.9,2013,2013-04-06,2013-04-30,JO,0,2010,3,3,1.483333333,96,FALSE,0,0,3.048626858,1.853722378
13,M,9.6,46.7,2013,2013-04-06,2013-04-30,JO,0,2010,3,3,1.545833333,96,FALSE,0,0,3.048626858,1.853722378
14,M,11.5,52.5,2013,2013-04-06,2013-04-29,JO,0,2010,3,2,1.782608696,95,TRUE,1,1,3.048626858,1.853722378
14,M,11.7,50.4,2013,2013-04-06,2013-04-29,JO,0,2010,3,2,1.682608696,95,TRUE,1,1,3.048626858,1.853722378
15,F,11.3,61.3,2013,2013-04-06,2013-04-29,AG,1,2010,3,4,NA,95,TRUE,1,1,2.91005291,1.459180287
15,F,12.1,64,2013,2013-04-06,2013-04-29,AG,1,2010,3,4,NA,95,FALSE,0,0,2.91005291,1.459180287
15,F,10,59.4,2013,2013-04-06,2013-04-29,AG,1,2010,3,4,NA,95,FALSE,0,0,2.91005291,1.459180287
15,F,11.6,63.6,2013,2013-04-06,2013-04-29,AG,1,2010,3,4,NA,95,FALSE,1,0,2.91005291,1.459180287
